mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_mean_14,mfcc_mean_15,mfcc_mean_16,mfcc_mean_17,mfcc_mean_18,mfcc_mean_19,mfcc_mean_20,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,mfcc_std_14,mfcc_std_15,mfcc_std_16,mfcc_std_17,mfcc_std_18,mfcc_std_19,mfcc_std_20,label_speaker
-233.46716,90.81609,32.43533,20.197138,12.964448,9.56491,11.224674,7.036124,-4.760642,10.124162,-5.303318,-5.900613,-2.0564408,-0.0919786,-4.0839486,0.43653175,-1.346453,-1.3815811,-2.042263,1.3854002,94.27938,18.236145,19.706161,15.16473,8.430525,12.664157,6.735053,10.764545,16.784327,14.919356,5.346282,10.365103,7.9364634,5.459118,7.1111655,4.721846,5.3371577,5.060539,5.1247067,3.8296137,Abdi
-232.17522,98.66782,32.680363,14.812884,13.01629,7.864902,14.228676,6.8853607,-8.969,13.676858,-2.4767215,-5.654711,-3.5410833,-1.0385683,-5.642127,0.5309265,0.5753694,-3.1609795,-3.4984765,2.4932292,91.45743,19.895432,23.286274,18.283672,8.22313,15.099943,7.2088575,10.459273,16.587051,15.2391615,4.945312,10.723157,8.789026,5.757488,7.650988,4.2769194,8.528548,6.1065903,7.00268,3.2835212,Abdi
-242.8243,93.191956,38.54276,25.344582,15.923235,12.170283,11.107774,7.827838,-4.5480747,7.175294,-1.3037946,-6.220097,-2.8794067,-1.7304459,-4.679895,0.6703704,1.0164126,-1.2612697,-1.7238929,1.0104806,70.45111,16.942432,20.230871,13.23836,7.4539933,12.3673315,6.422517,8.653652,12.871449,7.3577743,4.6990547,12.494906,7.9792876,6.522258,7.049614,4.2508507,5.1571183,5.196158,5.6322875,3.9156744,Abdi
-274.7119,87.68871,35.26508,29.186766,17.107315,10.722456,12.176835,9.856238,-2.1314533,3.5503702,-3.9376996,-3.2297142,-3.6052053,-1.3985107,-2.434283,-0.5585914,1.0196955,0.54504806,-0.9877569,0.2584871,47.52968,15.930017,13.071148,5.000322,5.900271,10.279243,4.945138,5.6137033,12.039807,3.9130316,6.789752,8.895139,9.166197,3.4235249,2.6736288,3.4689276,6.337274,3.476234,3.5740676,4.232398,Abdi
-228.70973,94.89282,37.38489,20.836374,12.876014,9.134856,18.592203,10.5102005,-11.452625,8.71446,-3.3281257,-4.857011,-6.301308,-2.6843715,-0.59021497,-1.2409394,0.021090893,0.36092106,-4.5450835,-3.1476552,82.06792,21.6516,20.691643,18.580166,9.431136,13.520044,10.0994005,8.488604,21.007116,11.215175,6.120855,13.103254,10.142212,5.124593,5.1706653,4.3856053,8.528653,4.7099295,5.3681965,5.5808473,Abdi
-232.46742,96.869774,34.80363,23.08002,11.804765,3.6079867,16.90535,8.021682,-13.193433,8.209227,-2.184975,-6.1328535,-4.7308865,-4.2573686,-2.3101614,-3.050663,1.3753692,0.5742171,-5.086468,-4.0692925,92.18164,24.520258,22.950289,19.531048,9.952333,15.2943535,10.794545,9.6172695,21.829561,8.622652,6.7605114,13.425204,8.697375,5.953704,5.435149,5.411929,9.867344,4.08927,8.097737,5.5660205,Abdi
-221.51591,95.91267,36.823944,22.01305,13.029106,8.349536,18.077208,8.604533,-10.641003,8.858386,-1.2758352,-5.7987075,-5.8213453,-4.669224,-2.1238337,-1.3820235,-0.45810577,2.0579624,-4.555181,-3.9605582,83.49408,22.065023,19.591242,15.709852,10.420456,15.207395,8.639712,7.92358,21.129345,7.0242677,5.871601,12.690072,8.621792,6.139725,5.8886924,4.259761,8.147705,4.780694,6.6412873,6.678102,Abdi
-210.29297,99.72122,34.908485,21.44777,11.750532,9.096421,19.190294,8.96253,-13.660021,7.278871,-1.4471234,-4.9479446,-6.4385877,-3.5750988,-2.220154,-2.833618,-0.055605426,1.4685814,-4.7977057,-3.0701985,84.54587,22.559938,19.794008,19.268559,9.351983,14.915986,10.899589,8.21293,21.382025,10.160675,6.3513975,12.930381,8.807702,6.058495,5.61094,4.564936,7.3979993,4.344077,8.05426,5.8811507,Abdi
-209.83926,93.913315,33.395557,25.017052,11.978974,5.6569176,19.040266,8.75992,-11.348373,5.8382483,-3.0239305,-4.222329,-5.059564,-3.7351105,-1.819051,-1.3079287,-0.7176625,1.4198136,-3.7644644,-4.1800528,82.97644,23.16897,18.615044,16.218353,8.339089,14.72018,8.866986,8.80293,19.962137,9.075534,5.928815,10.917955,9.795219,6.1166186,5.0679526,4.8706717,7.7348275,4.795001,7.2912617,6.383856,Abdi
-209.90063,98.1125,35.258335,25.059269,14.141329,9.16474,18.306755,10.84196,-10.845915,7.3758216,-3.3401773,-5.384548,-5.596947,-1.1805673,-2.0471215,0.44422787,-0.05413839,1.2664146,-3.7671707,-2.5467389,68.780396,21.441357,13.222316,13.14659,8.346454,11.23045,8.96038,5.6599765,20.46881,9.927187,6.6003504,10.733045,9.382962,4.6073484,3.51366,3.9776433,6.116321,4.3439684,6.5849338,5.409671,Abdi
-206.55853,91.67181,35.164295,24.29731,14.959438,12.429962,17.912067,8.027246,-10.240855,6.6800876,-1.3876123,-2.7248807,-1.1547498,-0.19250982,-2.2187521,0.5085974,-2.4864924,1.5464895,-4.158403,-1.6476371,65.24091,19.906372,15.684634,15.875617,8.87736,9.1263,5.861393,6.055976,20.380648,6.993075,7.0725794,9.007619,8.559901,4.8456697,4.0303783,3.4408915,7.3474965,4.2842784,5.226502,5.73861,Abdi
-203.72314,94.2103,37.00145,20.04691,12.513988,11.271816,17.907534,10.279746,-11.147521,6.9031067,-2.2045987,-5.190564,-4.9732695,-2.6843815,-1.6876236,-0.1729089,-1.316395,2.443042,-4.703177,-2.7952,75.88682,19.364498,21.690964,18.396748,8.448185,12.4592285,9.692532,5.682767,20.798813,8.15952,5.7720027,9.933856,9.151255,5.9385448,4.771468,4.7169247,8.390871,4.715153,7.481507,5.310548,Abdi
-197.89767,95.90739,35.53796,19.533428,14.315213,12.001427,17.683474,8.044612,-12.842253,7.698271,-1.1146272,-3.3607779,-3.4546654,-2.7552447,-1.0043389,-0.86665475,0.15577751,2.0213277,-3.26113,-2.9846373,82.11149,18.786406,18.976162,18.623217,9.148615,13.777606,10.210948,7.1658034,20.10649,8.038072,6.073254,10.338824,10.137253,5.0581436,5.523639,4.3601193,8.564401,3.9671278,6.239211,6.1402426,Abdi
-213.66385,95.05741,36.067017,21.266731,12.293182,8.00225,18.609377,10.275096,-10.55739,6.5433936,-2.8114154,-3.712304,-3.8065224,-1.0427257,-3.266961,-1.2511123,1.0668067,1.3726012,-4.2897334,-3.2007716,77.15017,19.891947,17.81934,17.528437,9.362855,12.31833,10.341302,6.7708673,21.88541,7.782836,7.1692095,10.412671,10.609895,5.2537007,4.7183385,3.9227405,8.5374975,5.3631496,6.22796,5.906983,Abdi
