mfcc_std_11,mfcc_std_1,mfcc_std_16,mfcc_mean_11,mfcc_mean_1,mfcc_std_5,mfcc_std_8,mfcc_mean_3,mfcc_mean_4,mfcc_mean_17,mfcc_std_15,mfcc_mean_2,mfcc_mean_15,mfcc_mean_18,mfcc_std_9,mfcc_std_18,mfcc_mean_9,mfcc_std_3,mfcc_mean_20,mfcc_std_19,mfcc_std_2,mfcc_mean_16,mfcc_std_4,mfcc_std_17,mfcc_mean_13,mfcc_std_14,mfcc_std_6,mfcc_std_10,mfcc_mean_14,mfcc_mean_8,mfcc_std_12,mfcc_mean_6,mfcc_mean_12,mfcc_mean_7,mfcc_mean_10,mfcc_mean_19,mfcc_std_20,mfcc_mean_5,mfcc_std_13,label_speaker
5.346282,94.27938,4.721846,-5.303318,-233.46716,8.430525,10.764545,32.43533,20.197138,-1.346453,7.1111655,90.81609,-4.0839486,-1.3815811,16.784327,5.060539,-4.760642,19.706161,1.3854002,5.1247067,18.236145,0.43653175,15.16473,5.3371577,-2.0564408,5.459118,12.664157,14.919356,-0.0919786,7.036124,10.365103,9.56491,-5.900613,11.224674,10.124162,-2.042263,3.8296137,12.964448,7.9364634,Abdi
4.945312,91.45743,4.2769194,-2.4767215,-232.17522,8.22313,10.459273,32.680363,14.812884,0.5753694,7.650988,98.66782,-5.642127,-3.1609795,16.587051,6.1065903,-8.969,23.286274,2.4932292,7.00268,19.895432,0.5309265,18.283672,8.528548,-3.5410833,5.757488,15.099943,15.2391615,-1.0385683,6.8853607,10.723157,7.864902,-5.654711,14.228676,13.676858,-3.4984765,3.2835212,13.01629,8.789026,Abdi
4.6990547,70.45111,4.2508507,-1.3037946,-242.8243,7.4539933,8.653652,38.54276,25.344582,1.0164126,7.049614,93.191956,-4.679895,-1.2612697,12.871449,5.196158,-4.5480747,20.230871,1.0104806,5.6322875,16.942432,0.6703704,13.23836,5.1571183,-2.8794067,6.522258,12.3673315,7.3577743,-1.7304459,7.827838,12.494906,12.170283,-6.220097,11.107774,7.175294,-1.7238929,3.9156744,15.923235,7.9792876,Abdi
6.789752,47.52968,3.4689276,-3.9376996,-274.7119,5.900271,5.6137033,35.26508,29.186766,1.0196955,2.6736288,87.68871,-2.434283,0.54504806,12.039807,3.476234,-2.1314533,13.071148,0.2584871,3.5740676,15.930017,-0.5585914,5.000322,6.337274,-3.6052053,3.4235249,10.279243,3.9130316,-1.3985107,9.856238,8.895139,10.722456,-3.2297142,12.176835,3.5503702,-0.9877569,4.232398,17.107315,9.166197,Abdi
6.120855,82.06792,4.3856053,-3.3281257,-228.70973,9.431136,8.488604,37.38489,20.836374,0.021090893,5.1706653,94.89282,-0.59021497,0.36092106,21.007116,4.7099295,-11.452625,20.691643,-3.1476552,5.3681965,21.6516,-1.2409394,18.580166,8.528653,-6.301308,5.124593,13.520044,11.215175,-2.6843715,10.5102005,13.103254,9.134856,-4.857011,18.592203,8.71446,-4.5450835,5.5808473,12.876014,10.142212,Abdi
6.7605114,92.18164,5.411929,-2.184975,-232.46742,9.952333,9.6172695,34.80363,23.08002,1.3753692,5.435149,96.869774,-2.3101614,0.5742171,21.829561,4.08927,-13.193433,22.950289,-4.0692925,8.097737,24.520258,-3.050663,19.531048,9.867344,-4.7308865,5.953704,15.2943535,8.622652,-4.2573686,8.021682,13.425204,3.6079867,-6.1328535,16.90535,8.209227,-5.086468,5.5660205,11.804765,8.697375,Abdi
5.871601,83.49408,4.259761,-1.2758352,-221.51591,10.420456,7.92358,36.823944,22.01305,-0.45810577,5.8886924,95.91267,-2.1238337,2.0579624,21.129345,4.780694,-10.641003,19.591242,-3.9605582,6.6412873,22.065023,-1.3820235,15.709852,8.147705,-5.8213453,6.139725,15.207395,7.0242677,-4.669224,8.604533,12.690072,8.349536,-5.7987075,18.077208,8.858386,-4.555181,6.678102,13.029106,8.621792,Abdi
6.3513975,84.54587,4.564936,-1.4471234,-210.29297,9.351983,8.21293,34.908485,21.44777,-0.055605426,5.61094,99.72122,-2.220154,1.4685814,21.382025,4.344077,-13.660021,19.794008,-3.0701985,8.05426,22.559938,-2.833618,19.268559,7.3979993,-6.4385877,6.058495,14.915986,10.160675,-3.5750988,8.96253,12.930381,9.096421,-4.9479446,19.190294,7.278871,-4.7977057,5.8811507,11.750532,8.807702,Abdi
5.928815,82.97644,4.8706717,-3.0239305,-209.83926,8.339089,8.80293,33.395557,25.017052,-0.7176625,5.0679526,93.913315,-1.819051,1.4198136,19.962137,4.795001,-11.348373,18.615044,-4.1800528,7.2912617,23.16897,-1.3079287,16.218353,7.7348275,-5.059564,6.1166186,14.72018,9.075534,-3.7351105,8.75992,10.917955,5.6569176,-4.222329,19.040266,5.8382483,-3.7644644,6.383856,11.978974,9.795219,Abdi
6.6003504,68.780396,3.9776433,-3.3401773,-209.90063,8.346454,5.6599765,35.258335,25.059269,-0.05413839,3.51366,98.1125,-2.0471215,1.2664146,20.46881,4.3439684,-10.845915,13.222316,-2.5467389,6.5849338,21.441357,0.44422787,13.14659,6.116321,-5.596947,4.6073484,11.23045,9.927187,-1.1805673,10.84196,10.733045,9.16474,-5.384548,18.306755,7.3758216,-3.7671707,5.409671,14.141329,9.382962,Abdi
